1704737412.3	0.0	0.0	-0.011131949339116431	0.00.00012993812561035156	1.0	0.011131949339116431
1704737414.3	0.0	0.0	-0.05565974985947264	-0.0445278005204-0.0012989044189453125	0.0	0.01113194933907264
1704737416.3	0.011131950130089052	-0.0111319501301	-0.04452780052035621	-0.03339585118120.0009620189666748047	1.0	0.024891796859310634
1704737418.3	1.8033758997181657	-0.411882150067	0.04452780052035621	0.0222638986782-0.001569986343383789	0.0	2.2153699258731514
1704737420.3	6.467662949648368	-3.25052940002	0.311694600478603	0.3228265498185.0067901611328125e-05	0.0	9.718198725352805
1704737422.3	9.439893600370322	-7.89255254969	0.41188215085843183	0.4564099482150.0015230178833007812	1.0	17.332503346876305
1704737424.3	10.397241299693391	-9.99649109976	0.42301410019754826	0.3228265498180.001135110855102539	0.0	20.393978491843274
1704737426.3	10.530824699672515	-10.5753525002	0.3896182490163085	0.367354350338-0.0006918907165527344	0.0	21.106188942431142
1704737428.3	10.363845450094097	-10.5196927503	0.37848629967719205	0.4452779988760.0014331340789794922	0.0	20.88364500987319
1704737430.3	10.308185700234624	-10.3415815498	0.37848629967719205	0.4786738500570.00028705596923828125	0.0	20.650010291180333
1704737432.3	12.890798100358325	-10.4529010503	0.4007501983554249	0.489805799396-0.0003600120544433594	0.0	23.34386902243334
1704737434.3	17.12093909996089	-13.4251317003	0.3896182490163085	0.4564099482150.001577138900756836	0.0	30.54614382316748
1704737436.3	19.870530749663008	-17.6775366001	0.4007501983554249	0.4452779988760.0011529922485351562	1.0	37.54809375224471
1704737438.3	20.772218699917577	-20.1822253501	0.4007501983554249	0.4230141001980.001199960708618164	0.0	40.954450101635416
1704737440.3	20.82787844977705	-20.9503298996	0.37848629967719205	0.4118821476950.0012481212615966797	0.0	41.77822169703521
1704737442.3	20.649767250068543	-20.9391979503	0.3562224009989592	0.4230141001980.0013630390167236328	0.0	41.58901883392475
1704737444.3	20.538447750349597	-20.7722186999	0.3450904484959523	0.4564099482150.0018439292907714844	0.0	41.31081643582944
1704737446.3	21.095045249735296	-20.6386352999	0.3450904484959523	0.4786738500570.0031659603118896484	0.0	41.73389433954349
1704737448.3	24.22312319990558	-22.0523929498	0.3228265498177194	0.4786738500570.0015671253204345703	0.0	46.27577858126921
1704737450.3	28.620243449877535	-25.8483878999	0.30056264797559606	0.5009377487350.004203081130981445	1.0	54.4689999109491
1704737452.3	30.379091549866317	-29.6109870004	0.3228265498177194	0.5232016474130.003556966781616211	0.0	59.990413189499364
1704737454.3	30.857765399923338	-30.7353139501	0.3450904484959523	0.4786738500570.005017995834350586	0.0	61.59322420805266
1704737456.3	30.768709799673598	-30.9690848996	0.3896182490163085	0.4786738500570.007007122039794922	1.0	61.73785892975015
1704737458.3	30.746445900204392	-30.8243695503	0.41188215085843183	0.4564099482150.003698110580444336	0.0	61.57083155167557
1704737460.3	32.86151639961019	-31.06927245	0.3673543503380756	0.4564099482150.004352092742919922	0.0	63.9308508768103
1704737462.3	37.52580345033137	-33.6184889998	0.24490289811612342	0.5343335999160.0029990673065185547	0.0	71.14488118171934
1704737464.3	40.25313119977331	-38.3161719001	0.25603485061913034	0.6456530996350.0060880184173583984	0.0	78.57026913521251
1704737466.3	41.08802745003831	-40.5982216499	0.3673543503380756	0.5565974985950.0057871341705322266	0.0	81.68646831015731
1704737468.3	41.16595110015796	-41.2661386497	0.42301410019754826	0.4898057993960.006211996078491211	0.0	82.43211680928569
1704737470.3	40.98783989965848	-41.2550066996	0.4452779988757811	0.4564099482150.007121086120605469	0.0	82.24284735263888
1704737472.3	40.820860650080064	-41.0546315996	0.41188215085843183	0.4675418975540.005427122116088867	0.0	81.87551116869331
1704737474.3	40.9433120999291	-40.9099162503	0.37848629967719205	0.5120696980740.007648944854736328	0.0	81.85333735333629
1704737476.3	43.44800084993315	-40.9433120999	0.28943069863647963	0.5454655492560.007967948913574219	0.0	84.39170134107623
1704737478.3	47.77832939991554	-42.9359311503	0.24490289811612342	0.5788613972730.007890939712524414	0.0	90.71487527110176
1704737480.3	50.76169199997661	-47.0881484998	0.311694600478603	0.6345211502960.007863044738769531	0.0	97.85037303359138
1704737482.3	51.46300485026249	-50.3386778998	0.41188215085843183	0.5899933497760.006600141525268555	1.0	101.80183856072321
1704737484.3	51.518664600121966	-51.1958380503	0.46754190071790447	0.5343335999160.0065801143646240234	0.0	102.71452436658907
1704737486.3	51.318289500153284	-51.2960255999	0.4786738500570209	0.4786738500570.00779414176940918	0.0	102.61431510005329
1704737488.3	51.173574150044075	-51.1067824501	0.4452779988757811	0.4898057993960.008358001708984375	0.0	102.28036629274288
1704737490.3	51.70790774996057	-50.9509351498	0.3896182490163085	0.5343335999160.007756948471069336	0.0	102.65894490033739
1704737492.31	55.381451250177435	-52.0084704003	0.30056264797559606	0.556597498595-0.002380847930908203	0.0	107.3902268641817
1704737494.31	59.2665017997021	-56.1272919002	0.30056264797559606	0.656785048975-0.002526998519897461	1.0	115.39434353058445
1704737496.31	61.03648184982097	-59.8453632001	0.41188215085843183	0.601125299115-0.002293825149536133	0.0	120.8819931819552
1704737498.31	61.515155699877994	-61.2925166996	0.5009377487352538	0.523201647413-0.0015950202941894531	0.0	122.80767441759775
1704737500.31	61.392704250028956	-61.6376071497	0.5009377487352538	0.478673850057-0.0001728534698486328	0.0	123.03031341419667
1704737502.31	61.20346110019036	-61.5040237497	0.42301410019754826	0.534333599916-0.00039386749267578125	0.0	122.70753534407368
1704737504.31	61.092141599680446	-61.32591255	0.3673543503380756	0.578861397273-0.0007288455963134766	0.0	122.41823686454971
